precinct,is_accessible,location,address,mapzen GID,geocoded address,lat,lon
201000,False,SHEPHERD OF THE HILLS LUTH CH SIDE A,401 GRIZZLY PEAK BLVD BERKELEY,openaddresses:address:us/ca/alameda:83329,"401 Grizzly Peak Boulevard, Berkeley, CA, USA",37.903935,-122.269196
201100,False,CRAGMONT SCHOOL LOBBY,830 REGAL RD BERKELEY,openaddresses:address:us/ca/berkeley:26103,"830 Regal Road, Berkeley, CA, USA",37.893951,-122.267424
201300,False,CRAGMONT SCHOOL  LIBRARY,830 REGAL RD BERKELEY,openaddresses:address:us/ca/berkeley:26103,"830 Regal Road, Berkeley, CA, USA",37.893951,-122.267424
201400,False,GERMAN INT SCHOOL OF SILICON VALLEY,1581 LE ROY AVE BERKELEY,openaddresses:address:us/ca/berkeley:20381,"1581 Le Roy Avenue, Berkeley, CA, USA",37.880756,-122.25918
201410,False,GARAGE,19 TAMALPAIS RD. BERKELEY,openaddresses:address:us/ca/alameda:78457,"19 Tamalpais Road, Berkeley, CA, USA",37.883912,-122.260254
201500,True,SECOND CHURCH-CHRIST SCIENTIST FOYER,1521 SPRUCE ST BERKELEY,openaddresses:address:us/ca/alameda:26928,"1411 Spruce Street, Berkeley, CA, USA",37.882013,-122.265762
201700,False,GRADUATE THEOLOGICAL UNION LOUNGE,2465 LECONTE AVE BERKELEY,openaddresses:address:us/ca/alameda:27023,"2465 Hilgard Avenue, Berkeley, CA, USA",37.878812,-122.261447
201710,False,GRADUATE THEOLOGICAL UNION,2400 RIDGE RD BERKELEY,openstreetmap:address:way:60117887,"2400 Ridge Road, Berkeley, CA, USA",37.875617,-122.261968
201800,False,GRADUATE THEOLOGICAL UNION  LOUNGE,2465 LECONTE AVE BERKELEY,openaddresses:address:us/ca/alameda:27023,"2465 Hilgard Avenue, Berkeley, CA, USA",37.878812,-122.261447
201900,False,ALL SOULS EPISCOPAL PARISH,2220 CEDAR ST BERKELEY,openstreetmap:address:way:220839211,"2220 Cedar Street, Berkeley, CA, USA",37.87854,-122.266057
202110,False,BERKELEY FRIENDS MEETING CH COMM RM,2151 VINE ST BERKELEY,openstreetmap:address:way:220840125,"2151 Vine Street, Berkeley, CA, USA",37.880561,-122.267966
202310,False,REDWOOD GARDENS COMMUNITY RM,2951 DERBY ST BERKELEY,openaddresses:address:us/ca/alameda:29014,"2951 Derby Street, Berkeley, CA, USA",37.863166,-122.247349
202500,False,NEWMAN HALL  GALLERY,2700 DWIGHT WAY BERKELEY,openaddresses:address:us/ca/berkeley:12551,"2700 Dwight Way, Berkeley, CA, USA",37.865455,-122.253361
202520,False,UNIVERSITY LUTHERAN CHAPEL PARISH HALL,2425 COLLEGE AVE BERKELEY,openaddresses:address:us/ca/berkeley:13062,"2425 College Avenue, Berkeley, CA, USA",37.866716,-122.253746
202540,False,UC RESIDENCE HALL UNIT I REC RM,2650 DURANT AVE BERKELEY,openaddresses:address:us/ca/alameda:48061,"2650 Durant Avenue, Berkeley, CA, USA",37.867824,-122.255215
202600,False,UNIVERSITY LUTHERAN CHAPEL PARISH HALL,2425 COLLEGE AVE BERKELEY,openaddresses:address:us/ca/berkeley:13062,"2425 College Avenue, Berkeley, CA, USA",37.866716,-122.253746
202620,False,UC RESIDENCE HALL UNIT I REC RM,2650 DURANT AVE BERKELEY,openaddresses:address:us/ca/alameda:48061,"2650 Durant Avenue, Berkeley, CA, USA",37.867824,-122.255215
202710,False,NEWMAN HALL  LIBRARY,2700 DWIGHT WAY BERKELEY,openaddresses:address:us/ca/berkeley:12551,"2700 Dwight Way, Berkeley, CA, USA",37.865455,-122.253361
202900,False,EMERSON SCH HALLWAY BY OFFICE,2800 FOREST AVE BERKELEY,openaddresses:address:us/ca/alameda:39102,"2800 Forest Avenue, Berkeley, CA, USA",37.861192,-122.250474
203100,False,JOHN MUIR ELEMENTARY SCHOOL AUDITORIUM,2955 CLAREMONT AVE BERKELEY,openaddresses:address:us/ca/alameda:84210,"2955 Claremont Avenue, Berkeley, CA, USA",37.857335,-122.245074
203200,False,GARAGE,186 HILLCREST RD BERKELEY,openaddresses:address:us/ca/alameda:84595,"186 Hillcrest Road, Berkeley, CA, USA",37.852431,-122.243942
203300,False,JOHN MUIR ELEMENTARY SCHOOL AUDITORIUM,2955 CLAREMONT AVE BERKELEY,openaddresses:address:us/ca/alameda:84210,"2955 Claremont Avenue, Berkeley, CA, USA",37.857335,-122.245074
203400,False,BERKELEY FIRE STATION 3 SIDE B,2710 RUSSELL STREET BERKELEY,openstreetmap:address:way:318157154,"2710 Russell Street, Berkeley, CA, USA",37.8583,-122.252569
203500,False,REDWOOD GARDENS 1ST FLR NORTH SIDE LOBBY,2951 DERBY ST BERKELEY,openaddresses:address:us/ca/alameda:29014,"2951 Derby Street, Berkeley, CA, USA",37.863166,-122.247349
203800,False,CLAREMONT BRANCH LIBRARY,2940 BENVENUE AVE BERKELEY,openaddresses:address:us/ca/berkeley:6875,"2940 Benvenue Avenue, Berkeley, CA, USA",37.856611,-122.254367
204100,False,ARTS MAGNET SCHOOL STAFF LOUNGE,2015 VIRGINIA ST BERKELEY,openstreetmap:address:way:184175110,"2015 Virginia Street, Berkeley, CA, USA",37.876855,-122.270741
204210,False,THE BERKELEY MASJID FOUNDATION LOBBY,2716 DERBY ST BERKELEY,openaddresses:address:us/ca/alameda:39225,"2716 Derby Street, Berkeley, CA, USA",37.861933,-122.252709
204220,False,AMERICAN BAPTIST SEMINARY OF THE WEST,2606 DWIGHT WAY BERKELEY,openaddresses:address:us/ca/alameda:45445,"2606 Dwight Way, Berkeley, CA, USA",37.864905,-122.255822
204230,False,BERKELEY FIRE STATION 3 SIDE A,2710 RUSSELL STREET BERKELEY,openstreetmap:address:way:318157154,"2710 Russell Street, Berkeley, CA, USA",37.8583,-122.252569
204240,False,AMERICAN BAPTIST SEMINARY OF THE WEST,2606 DWIGHT WAY BERKELEY,openaddresses:address:us/ca/alameda:45445,"2606 Dwight Way, Berkeley, CA, USA",37.864905,-122.255822
204300,False,WILLARD JR HIGH YSP AREA,2425 STUART ST BERKELEY,openaddresses:address:us/ca/alameda:39526,"2425 Stuart Street, Berkeley, CA, USA",37.860188,-122.258077
204310,False,LECONTE SCHOOL AUDITORIUM LOBBY,2241 RUSSELL ST BERKELEY,openaddresses:address:us/ca/alameda:38205,"2241 Russell Street, Berkeley, CA, USA",37.857697,-122.262733
204510,False,SEVENTH DAY ADVENTIST CH BASEMENT,2236 PARKER ST BERKELEY,openaddresses:address:us/ca/alameda:43144,"2236 Parker Street, Berkeley, CA, USA",37.862406,-122.263193
204600,False,SEVENTH DAY ADVENTIST CH BASEMENT,2236 PARKER ST BERKELEY,openaddresses:address:us/ca/alameda:43144,"2236 Parker Street, Berkeley, CA, USA",37.862406,-122.263193
204900,False,HAROLD E. JONES CHILD STUDY CENTER,2425 ATHERTON ST BERKELEY,openaddresses:address:us/ca/alameda:49434,"2412 Atherton Street, Berkeley, CA, USA",37.865662,-122.264755
204910,False,UC RESIDENCE HALL UNIT III BLDG,2400 DURANT AVE BERKELEY,openstreetmap:address:way:41746182,"2400 Durant Avenue, Berkeley, CA, USA",37.867279,-122.26043
205000,False,GARAGE,322 ARLINGTON AVE BERKELEY,openaddresses:address:us/ca/berkeley:28592,"322 Arlington Avenue, Berkeley, CA, USA",37.902589,-122.277646
205100,False,GARAGE     ENTER ON SAN DIEGO RD,86 SOUTHAMPTON AVE BERKELEY,openaddresses:address:us/ca/alameda:76312,"86 Southampton Avenue, Berkeley, CA, USA",37.896076,-122.274448
205200,False,NORTHBRAE COMMUNITY CH HAVER HALL,941 THE ALAMEDA BERKELEY,openaddresses:address:us/ca/berkeley:24536,"941 The Alameda, Berkeley, CA, USA",37.890591,-122.276109
205500,False,THOUSAND OAKS BAPTIST CH MORGAN HALL,1821 CATALINA AVE BERKELEY,openaddresses:address:us/ca/berkeley:25440,"1821 Catalina Avenue, Berkeley, CA, USA",37.892471,-122.279605
205600,False,THOUSAND OAKS BAPTIST CH MORGAN HALL,1821 CATALINA AVE BERKELEY,openaddresses:address:us/ca/berkeley:25440,"1821 Catalina Avenue, Berkeley, CA, USA",37.892471,-122.279605
205700,False,NORTHBRAE COMMUNITY CH  HAVER HALL,941 THE ALAMEDA BERKELEY,openaddresses:address:us/ca/berkeley:24536,"941 The Alameda, Berkeley, CA, USA",37.890591,-122.276109
205800,False,NORTHBRAE COMMUNITY CH  HAVER HALL,941 THE ALAMEDA BERKELEY,openaddresses:address:us/ca/berkeley:24536,"941 The Alameda, Berkeley, CA, USA",37.890591,-122.276109
205900,False,NORTH BERKELEY BRANCH LIBRARY,1170 THE ALAMEDA BERKELEY,openaddresses:address:us/ca/berkeley:22490,"1170 The Alameda, Berkeley, CA, USA",37.885475,-122.275401
206000,False,BERKELEY FIRE STATION 4,1900 MARIN AVE BERKELEY,openaddresses:address:us/ca/alameda:75516,"1900 Marin Avenue, Berkeley, CA, USA",37.888681,-122.276032
206100,False,OXFORD SCHOOL   ENTRY HALL,1130 OXFORD ST BERKELEY,openaddresses:address:us/ca/alameda:75101,"1130 Oxford Street, Berkeley, CA, USA",37.887421,-122.268586
206200,False,LIVE OAK COMM CENTER   FIRESIDE RM,1301 SHATTUCK AVE BERKELEY,openaddresses:address:us/ca/berkeley:22220,"1301 Shattuck Avenue, Berkeley, CA, USA",37.884104,-122.269207
206300,False,BERKELEY FRIENDS MEETING CH COMM RM,2151 VINE ST BERKELEY,openstreetmap:address:way:220840125,"2151 Vine Street, Berkeley, CA, USA",37.880561,-122.267966
206400,False,LIVE OAK COMM CENTER FIRESIDE RM,1301 SHATTUCK AVE BERKELEY,openaddresses:address:us/ca/berkeley:22220,"1301 Shattuck Avenue, Berkeley, CA, USA",37.884104,-122.269207
206600,False,NORTH BERKELEY SENIOR CENTER,1901 HEARST AVE BERKELEY,openaddresses:address:us/ca/berkeley:15939,"1901 Hearst Avenue, Berkeley, CA, USA",37.873666,-122.272719
207000,False,BERKELEY COVENANT CHURCH FOYER,1632 HOPKINS ST BERKELEY,openaddresses:address:us/ca/alameda:73284,"1632 Hopkins Street, Berkeley, CA, USA",37.882446,-122.27981
207010,False,M L K MIDDLE SCH STAFF LOUNGE,1781 ROSE ST BERKELEY,openaddresses:address:us/ca/alameda:74760,"1781 Rose Street, Berkeley, CA, USA",37.882282,-122.277767
207200,False,M L K MIDDLE SCH STAFF LOUNGE,1781 ROSE ST BERKELEY,openaddresses:address:us/ca/alameda:74760,"1781 Rose Street, Berkeley, CA, USA",37.882282,-122.277767
207300,False,TOTLAND PARK ENTER VIRGINIA ST,1644 VIRGINIA ST BERKELEY,openstreetmap:address:way:143297539,"1644 Virginia Street, Berkeley, CA, USA",37.875179,-122.278272
207500,True,LUTHERAN CH OF THE CROSS FELLOWSHIP HALL,1744 UNIVERSITY AVE BERKELEY,openaddresses:address:us/ca/alameda:57669,"1744 University Avenue, Berkeley, CA, USA",37.870801,-122.276272
207600,False,BERKELEY VETERANS BLDG  LOBBY,1931 CENTER ST BERKELEY,openstreetmap:address:node:354077999,"1931 Center Street, Berkeley, CA, USA",37.869997,-122.271773
207700,False,BERKELEY VETERANS BLDG  LOBBY,1931 CENTER ST BERKELEY,openstreetmap:address:node:354077999,"1931 Center Street, Berkeley, CA, USA",37.869997,-122.271773
208000,False,CITY OF BERKELEY OLD CITY HALL,2134 MARTIN LUTHER KING JR WAY BERKELEY,openstreetmap:address:way:43002041,"2134 Martin Luther King Jr Way, Berkeley, CA, USA",37.869224,-122.273322
208010,False,THE BERKSHIRE RETIREMENT HOME,2235 SACRAMENTO ST BERKELEY,openaddresses:address:us/ca/alameda:56370,"2235 Sacramento Street, Berkeley, CA, USA",37.866331,-122.280973
208100,False,CONGREGATION BETH ISRAEL,1630 BANCOFT WAY BERKELEY,openaddresses:address:us/ca/alameda:27665,"1630 Berkeley Way, Berkeley, CA, USA",37.871504,-122.278504
208110,True,THE BRIDGE CHURCH FOYER,2414 MLK JR. WAY BERKELEY,openaddresses:address:us/ca/alameda:44336,"2414 Dwight Way, Berkeley, CA, USA",37.864659,-122.259955
208200,False,STUART PRATT MANOR,2020 DURANT AVE BERKELEY,openaddresses:address:us/ca/alameda:54310,"2020 Durant Avenue, Berkeley, CA, USA",37.86618,-122.269287
208210,False,LONGFELLOW SCH GYM,1500 DERBY STREET BERKELEY,openaddresses:address:us/ca/berkeley:8577,"1500 Derby Street, Berkeley, CA, USA",37.858409,-122.278935
208300,False,LONGFELLOW SCH GYM,1500 DERBY STREET BERKELEY,openaddresses:address:us/ca/berkeley:8577,"1500 Derby Street, Berkeley, CA, USA",37.858409,-122.278935
208310,False,MC GEE AVE BAPTIST CH   ENTER REAR,1640 STUART ST BERKELEY,openaddresses:address:us/ca/alameda:36916,"1640 Stuart Street, Berkeley, CA, USA",37.857161,-122.275602
208400,False,M L KING JR YOUTH SERVICES CTR,1730 OREGON ST BERKELEY,openstreetmap:address:way:255316901,"1730 Oregon Street, Berkeley, CA, USA",37.85654,-122.272717
208500,False,HARRIET TUBMAN TER COMMUNITY RM,2870 ADELINE ST BERKELEY,openaddresses:address:us/ca/alameda:37280,"2870 Adeline Street, Berkeley, CA, USA",37.856923,-122.268747
208510,False,HARRIET TUBMAN TER COMMUNITY RM,2870 ADELINE ST BERKELEY,openaddresses:address:us/ca/alameda:37280,"2870 Adeline Street, Berkeley, CA, USA",37.856923,-122.268747
208600,False,LA PENA CULTURAL CENTER MULTI-USE RM,3105 SHATTUCK AVE BERKELEY,openaddresses:address:us/ca/berkeley:4299,"3105 Shattuck Avenue, Berkeley, CA, USA",37.852817,-122.265883
208610,False,BERKELEY PUBLIC LIBRARY ACTIVITY RM,1901 RUSSELL ST BERKELEY,openaddresses:address:us/ca/alameda:37152,"1901 Russell Street, Berkeley, CA, USA",37.85642,-122.270978
208650,False,CHURCH BY THE SIDE OF THE ROAD,2108 RUSSELL ST BERKELEY,openstreetmap:address:way:314026642,"2108 Russell Street, Berkeley, CA, USA",37.856632,-122.266008
208700,False,MALCOLM  X SCH AUDITORIUM SIDE A,1731 PRINCE ST BERKELEY,openaddresses:address:us/ca/alameda:31686,"1731 Prince Street, Berkeley, CA, USA",37.85306,-122.273623
208800,False,BLACK REPERTORY GROUP LOBBY,3201 ADELINE ST BERKELEY,openaddresses:address:us/ca/alameda:28533,"3201 Adeline Street, Berkeley, CA, USA",37.850589,-122.270202
208810,False,MABLE HOWARD APARTMENTS COMMUNITY RM,1499 ALCATRAZ AVE BERKELEY,openaddresses:address:us/ca/berkeley:2815,"1499 Alcatraz Avenue, Berkeley, CA, USA",37.848118,-122.278236
208900,False,OLLIE GROVE CHURCH DINING HALL,2800 MABEL STREET BERKELEY,openaddresses:address:us/ca/berkeley:5729,"2800 Mabel Street, Berkeley, CA, USA",37.855016,-122.28498
208910,False,OREGON PARK APTS   CLUBHOUSE,1425 OREGON ST BERKELEY,openaddresses:address:us/ca/alameda:36120,"1425 Oregon Street, Berkeley, CA, USA",37.856363,-122.280642
208920,False,MALCOLM X SCH AUDITORIUM SIDE B,1731 PRINCE ST BERKELEY,openaddresses:address:us/ca/alameda:31686,"1731 Prince Street, Berkeley, CA, USA",37.85306,-122.273623
